Training started at %s 

Model name is 3_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
3              800.0000       0.0102         97.2546        84.0343        94.4125        98.6434        83.7272        95.5104        
3              900.0000       0.2398         97.2592        84.0558        94.4212        97.6846        88.6386        95.6458        
3              1000.0000      0.0020         97.2810        84.1386        94.4589        97.6798        89.1485        95.8263        
3              1100.0000      0.0146         97.3139        84.2606        94.5179        98.5170        84.9892        95.6909        
3              1200.0000      0.1464         97.3374        84.3906        94.5604        98.5515        91.3878        97.0784        
3              1300.0000      0.0053         97.3570        84.5145        94.6080        98.3484        79.9802        94.1568        
3              1400.0000      0.0519         97.3672        84.6357        94.6402        97.8424        87.7473        95.7699        
3              1500.0000      0.0718         97.3728        84.7263        94.6725        99.4696        77.8190        94.8562        
3              1600.0000      0.0133         97.3891        84.8395        94.7087        99.0095        82.9500        95.3864        
3              1700.0000      0.0164         97.3974        84.9312        94.7371        99.0220        85.6906        96.3001        
4              0.0000         0.0307         97.4051        85.0147        94.7610        98.7415        86.8852        96.1309        
4              100.0000       0.0175         97.4219        85.0860        94.7901        86.9891        94.5227        88.6182        
4              200.0000       0.1895         97.4247        85.1030        94.7926        97.4418        93.4690        96.6046        
4              300.0000       0.2472         97.4248        85.1918        94.8153        98.1653        88.3315        96.1309        
4              400.0000       0.5766         97.4316        85.2634        94.8314        99.0019        86.7828        96.3113        
4              500.0000       0.1347         97.4168        85.3543        94.8263        98.0065        93.7025        97.1122        
4              600.0000       0.0078         97.4412        85.4547        94.8754        98.3027        88.5113        96.2549        
4              700.0000       0.0068         97.4539        85.5490        94.9097        98.2479        90.8943        96.7174        
4              800.0000       0.0479         97.4587        85.6327        94.9286        98.2549        89.9680        96.5031        
4              900.0000       0.3957         97.4629        85.7501        94.9576        97.7816        89.2971        95.9842        
4              1000.0000      0.0023         97.4761        85.8349        94.9857        98.0892        89.3715        96.1647        
4              1100.0000      0.0026         97.4863        85.9745        95.0234        97.2652        93.7564        96.4918        
4              1200.0000      0.0601         97.5120        86.0943        95.0742        98.0216        92.8766        96.9543        
4              1300.0000      0.2317         97.5167        86.2080        95.0993        98.3350        91.4120        96.8528        
4              1400.0000      0.0120         97.5312        86.2721        95.1206        97.4653        90.6482        96.0180        
4              1500.0000      0.0120         97.5455        86.3310        95.1463        98.5637        91.1620        97.0333        
4              1600.0000      0.4977         97.5550        86.3971        95.1712        98.9732        79.4872        94.6870        
4              1700.0000      0.0596         97.5678        86.5039        95.2029        98.8680        89.1304        96.7964        
5              0.0000         0.0017         97.5853        86.5430        95.2265        98.0838        92.7755        96.9318        
5              100.0000       0.0588         97.6168        86.6316        95.2753        98.1370        91.4149        96.7061        
5              200.0000       0.0008         97.6257        86.7204        95.2990        98.2943        89.4410        96.5257        
5              300.0000       0.0158         97.6291        86.7533        95.3085        98.7318        90.6023        96.9656        
5              400.0000       0.0003         97.6342        86.8126        95.3275        98.9258        87.5730        96.5144        
5              500.0000       0.0053         97.6499        86.8756        95.3540        98.6816        86.1155        96.0068        
5              600.0000       0.0027         97.6575        86.9802        95.3789        98.6085        89.9797        96.6949        
5              700.0000       0.2717         97.6573        87.0172        95.3834        98.7386        89.7866        96.7513        
5              800.0000       0.1530         97.6682        87.1072        95.4090        99.2594        84.8698        96.2662        
5              900.0000       0.1542         97.6815        87.1639        95.4281        96.9044        82.3770        93.7056        
5              1000.0000      0.2227         97.6866        87.2548        95.4459        97.8636        91.7084        96.6159        
5              1100.0000      0.1191         97.6897        87.2613        95.4527        97.9393        89.0250        96.0519        
5              1200.0000      0.2177         97.7062        87.3467        95.4834        92.2621        96.4121        93.1754        
5              1300.0000      0.2033         97.7013        87.3959        95.4872        98.6029        91.8314        97.1348        
5              1400.0000      0.2267         97.7040        87.4525        95.5003        97.9548        91.4152        96.5369        
5              1500.0000      0.0321         97.7166        87.4729        95.5170        97.7989        93.8871        96.9543        
5              1600.0000      0.1998         97.7279        87.5622        95.5471        98.3978        91.6882        96.9318        
5              1700.0000      0.0105         97.7397        87.6356        95.5705        98.9794        88.4845        96.6046        


Training ended at 2019-07-12 12:56:04.531140 


Without pooling



Training started at 2019-07-12 13:03:50.619807 

Model name is 12_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
1              0.0000         0.6540         100.0000       20.0000        73.3333        92.4547        57.9969        85.0423        
